ID do Sistema Peça, ID do Sistema Subsídio, Status, Mensagem
309545, 309580, Sucesso, Inserção bem-sucedida.
309545, 309592, Sucesso, Inserção bem-sucedida.
309545, 309622, Sucesso, Inserção bem-sucedida.
309545, 366476, Sucesso, Inserção bem-sucedida.
309545, 5312517, Sucesso, Inserção bem-sucedida.
310457, 310470, Sucesso, Inserção bem-sucedida.
310457, 310476, Sucesso, Inserção bem-sucedida.
310457, 795401, Sucesso, Inserção bem-sucedida.
310457, 795411, Sucesso, Inserção bem-sucedida.
310457, 3194234, Sucesso, Inserção bem-sucedida.
310907, 310908, Sucesso, Inserção bem-sucedida.
310907, 310909, Sucesso, Inserção bem-sucedida.
310907, 1663028, Sucesso, Inserção bem-sucedida.
310918, 310919, Sucesso, Inserção bem-sucedida.
310918, 1663056, Sucesso, Inserção bem-sucedida.
310918, 3257225, Sucesso, Inserção bem-sucedida.
310962, 305317, Sucesso, Inserção bem-sucedida.
310962, 310968, Sucesso, Inserção bem-sucedida.
310962, 310971, Sucesso, Inserção bem-sucedida.
310962, 2669636, Sucesso, Inserção bem-sucedida.
310962, 2669637, Sucesso, Inserção bem-sucedida.
310962, 4934286, Sucesso, Inserção bem-sucedida.
310998, 305319, Sucesso, Inserção bem-sucedida.
310998, 311001, Sucesso, Inserção bem-sucedida.
310998, 311003, Sucesso, Inserção bem-sucedida.
310998, 1671095, Sucesso, Inserção bem-sucedida.
310998, 2669638, Sucesso, Inserção bem-sucedida.
310998, 2669639, Sucesso, Inserção bem-sucedida.
310998, 4934286, Sucesso, Atualização bem-sucedida.
311353, 1413318, Sucesso, Inserção bem-sucedida.
311353, 3893153, Sucesso, Inserção bem-sucedida.
311353, 4744893, Sucesso, Inserção bem-sucedida.
311401, 1413340, Sucesso, Inserção bem-sucedida.
311401, 3893154, Sucesso, Inserção bem-sucedida.
311401, 4744894, Sucesso, Inserção bem-sucedida.
311700, 312393, Sucesso, Inserção bem-sucedida.
311700, 315879, Sucesso, Inserção bem-sucedida.
311700, 315882, Sucesso, Inserção bem-sucedida.
311700, 3793454, Sucesso, Inserção bem-sucedida.
311700, 4910890, Sucesso, Inserção bem-sucedida.
312726, 312738, Sucesso, Inserção bem-sucedida.
312726, 365958, Sucesso, Inserção bem-sucedida.
312726, 365961, Sucesso, Inserção bem-sucedida.
313237, 313241, Sucesso, Inserção bem-sucedida.
313237, 313245, Sucesso, Inserção bem-sucedida.
313237, 313250, Sucesso, Inserção bem-sucedida.
313237, 2668667, Sucesso, Inserção bem-sucedida.
313334, 2078914, Sucesso, Inserção bem-sucedida.
313334, 2078915, Sucesso, Inserção bem-sucedida.
313334, 2078917, Sucesso, Inserção bem-sucedida.
313334, 2078920, Sucesso, Inserção bem-sucedida.
313334, 2078926, Sucesso, Inserção bem-sucedida.
313845, 2079122, Sucesso, Inserção bem-sucedida.
313845, 2079123, Sucesso, Inserção bem-sucedida.
313845, 2079124, Sucesso, Inserção bem-sucedida.
313845, 2079126, Sucesso, Inserção bem-sucedida.
313845, 2079128, Sucesso, Inserção bem-sucedida.
313994, 2078824, Sucesso, Inserção bem-sucedida.
313994, 2078827, Sucesso, Inserção bem-sucedida.
313994, 2079061, Sucesso, Inserção bem-sucedida.
314065, 2079029, Sucesso, Inserção bem-sucedida.
314065, 2079033, Sucesso, Inserção bem-sucedida.
314065, 2079037, Sucesso, Inserção bem-sucedida.
314065, 2079039, Sucesso, Inserção bem-sucedida.
314183, 2078831, Sucesso, Inserção bem-sucedida.
314183, 2078833, Sucesso, Inserção bem-sucedida.
314183, 2078835, Sucesso, Inserção bem-sucedida.
314183, 2078838, Sucesso, Inserção bem-sucedida.
314183, 2078841, Sucesso, Inserção bem-sucedida.
314188, 309356, Sucesso, Inserção bem-sucedida.
314188, 314202, Sucesso, Inserção bem-sucedida.
314188, 1513436, Sucesso, Inserção bem-sucedida.
314188, 1513437, Sucesso, Inserção bem-sucedida.
314360, 309352, Sucesso, Inserção bem-sucedida.
314360, 314359, Sucesso, Inserção bem-sucedida.
314360, 1513453, Sucesso, Inserção bem-sucedida.
314360, 1513454, Sucesso, Inserção bem-sucedida.
314376, 2078898, Sucesso, Inserção bem-sucedida.
314376, 2078899, Sucesso, Inserção bem-sucedida.
314376, 2079751, Sucesso, Inserção bem-sucedida.
314413, 2078963, Sucesso, Inserção bem-sucedida.
314413, 2078966, Sucesso, Inserção bem-sucedida.
314413, 2078967, Sucesso, Inserção bem-sucedida.
314413, 2078968, Sucesso, Inserção bem-sucedida.
314413, 2078970, Sucesso, Inserção bem-sucedida.
314517, 2079355, Sucesso, Inserção bem-sucedida.
314517, 2079357, Sucesso, Inserção bem-sucedida.
314517, 2079359, Sucesso, Inserção bem-sucedida.
314517, 2079361, Sucesso, Inserção bem-sucedida.
314517, 2079362, Sucesso, Inserção bem-sucedida.
314572, 2078810, Sucesso, Inserção bem-sucedida.
314572, 2078811, Sucesso, Inserção bem-sucedida.
314572, 2078813, Sucesso, Inserção bem-sucedida.
314621, 2078938, Sucesso, Inserção bem-sucedida.
314621, 2078939, Sucesso, Inserção bem-sucedida.
314621, 2078941, Sucesso, Inserção bem-sucedida.
314621, 2078944, Sucesso, Inserção bem-sucedida.
314621, 2078945, Sucesso, Inserção bem-sucedida.
314790, 309347, Sucesso, Inserção bem-sucedida.
314790, 314791, Sucesso, Inserção bem-sucedida.
